Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Hungary,HUN,21.3395071,..,..,..,..,20.28580736,..,..,..,..,20.010989,20.74074009,18.42206445,17.48896034,17.52501676,17.54829004,15.73414047,16.57651016,16.63089611,16.49434933,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Iceland,ISL,6.862278769,..,..,..,..,6.649553492,..,..,..,..,6.595638323,6.809186658,6.191914657,6.091801055,5.939603293,5.833587216,5.436588878,5.709265082,5.690458273,5.698616135,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,India,IND,70.47513018,..,..,..,..,70.80607699,..,..,..,..,76.67834222,79.99719051,86.38168408,89.45226202,95.24264397,88.44512429,92.23194665,81.81164804,83.04086375,83.19931634,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Indonesia,IDN,23.34531803,..,..,..,..,21.75442599,..,..,..,..,22.31721025,18.94685133,20.06768554,20.01905868,18.89054816,19.92482789,21.15210797,18.55575927,19.11325719,19.37146134,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Iran, Islamic Rep.",IRN,39.70649376,..,..,..,..,38.35606228,..,..,..,..,41.37853622,42.55901964,41.48378839,41.23888443,39.85297971,40.89116772,39.84131218,38.9645715,38.60762301,38.01508315,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Iraq,IRQ,50.92544334,..,..,..,..,50.85365062,..,..,..,..,57.24593137,53.98373198,53.54775973,51.54630059,47.58535292,53.09642572,50.08978666,50.02941919,49.14829956,48.46825216,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Ireland,IRL,11.0279213,..,..,..,..,10.4600038,..,..,..,..,9.902931522,10.06939194,9.157206628,8.786223954,8.522230711,8.381681865,7.838263466,7.664546609,7.916850375,7.854094218,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Israel,ISR,23.32743848,..,..,..,..,23.26803051,..,..,..,..,24.98858454,24.70951301,22.35572158,23.00431254,21.76878839,22.51370748,18.85915608,20.20136227,20.05327737,19.75989688,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Italy,ITA,24.24042054,..,..,..,..,21.57351808,..,..,..,..,20.29490103,21.4270346,18.84991698,18.13743581,17.10725238,18.04119054,15.75652778,16.09761447,16.26524128,16.08828133,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Jamaica,JAM,15.00473993,..,..,..,..,15.37177139,..,..,..,..,14.88750421,14.11539401,14.82105006,14.95906723,15.50872429,15.75409904,15.38590695,15.41666418,15.3714762,15.28940246,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Japan,JPN,12.79177676,..,..,..,..,12.05741833,..,..,..,..,11.52530862,12.67886893,13.106628,13.36533634,13.71386106,13.40887797,13.35633595,13.570691,13.47597168,13.46980666,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Jordan,JOR,29.1775103,..,..,..,..,33.33893938,..,..,..,..,35.89120302,33.72917392,33.23273929,35.54875145,33.92842262,35.43994788,32.03573347,32.5078793,31.45267441,30.64558855,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Kazakhstan,KAZ,18.03449697,..,..,..,..,17.53591329,..,..,..,..,18.97825386,22.31865641,24.00908326,22.85330812,21.45655621,20.51355436,20.86881423,20.10344809,20.25210336,20.29485447,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Kenya,KEN,25.47181528,..,..,..,..,23.2584201,..,..,..,..,26.8091823,28.78168174,29.07804791,28.08814029,27.25581094,28.08947284,26.88967903,25.06403775,23.28569035,21.61458718,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Kiribati,KIR,10.06469304,..,..,..,..,10.27696685,..,..,..,..,9.806587652,9.763735686,9.70650164,9.738884647,9.287738199,9.097105532,9.691195176,9.564153332,9.484560864,9.468882294,..
