Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2017 [YR2017],2016 [YR2016],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,8053.17315549683,8477.08350803544,8961.6405895373,9660.19311285561,10839.9556222386,11940.1858865971,13214.8707840386,14417.3526705805,15942.8967331861,16014.1145672406,17300.7026474673,18274.0196322851,18611.453108112,18805.4297393376,19119.3121378627,18362.6952543104,18356.0660575514,17883.19031839,18974.7452169516,19288.0406878264,19239.5531427458
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,43024.1399101042,43347.8892099274,43890.5981100134,44160.9114292454,45540.4669120107,46342.1866093314,47212.577772728,48590.4005353331,48423.515483961,47064.7900198376,47972.558838523,48154.8711461252,48210.9246578014,48204.5856992867,48748.6205926039,49456.3985817783,50442.2705419624,49829.9273887741,51113.4817384021,51977.1736814287,49030.9912855647
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belize,BLZ,8656.33038856931,8806.73720964056,8996.23265536761,9566.36368954138,9724.23505774441,9647.65630797896,9791.1701849876,9826.60428795564,9406.42531895382,9110.68433445723,8996.43017873374,8767.31491539721,8885.54529802773,9074.46258757489,9233.08511563139,9331.31266298748,8798.69905704344,9141.2454122414,8719.99084920896,8925.19030811654,7586.02364366463
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,2431.44550294654,2485.11637812184,2523.60981807462,2532.99827251271,2566.34549968205,2528.67632574197,2549.1942622816,2625.21259437598,2673.76918464907,2656.43147887534,2634.13456654935,2633.93889798441,2681.35149684201,2792.0271283962,2883.89892063343,2849.82032440254,2933.83738431719,2859.39151002765,3040.16735376931,3156.43876330799,3186.48609895157
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bermuda,BMU,83181.5263421175,88231.783860841,86364.153739107,88727.3112693061,90195.8115646944,91114.0769901835,95615.3606970562,98257.9926982026,95855.800692618,89961.9827443671,88399.9159492493,85829.3782604391,80982.367755316,80503.6502910788,77361.1048812589,77842.7539032209,81834.9558735543,78149.352535184,81423.4084533215,81681.7266682559,76117.8047438727
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bhutan,BTN,4323.04103725923,4559.52388994547,4931.44010029077,5186.71244604326,5368.40231162608,5643.84986921345,5949.77319571466,6955.89170238421,7203.88609741544,7602.500151485,8416.1365922088,8988.40004796958,9346.08314189949,9442.81607043151,9886.98059766614,10445.5758475032,11619.0645094045,11196.7703394116,11931.6631740763,12530.1711498307,11176.2904187988
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bolivia,BOL,5305.61926053567,5300.31433934189,5337.76585299394,5387.58177415191,5515.65581948199,5660.57481952264,5829.3713331054,5989.68992705155,6248.93395762807,6349.00791388597,6499.81815758581,6724.30067260437,6952.73837566093,7305.22798770529,7581.59842759216,7825.76674838841,8244.93344575115,8034.17272467539,8466.29319952075,8528.74880360829,7679.93319449802
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bosnia and Herzegovina,BIH,6825.99890662109,6965.44475390282,7309.56827122045,7618.83013521411,8180.70937032774,8600.3401831176,9146.86005551351,9803.90523833807,10506.6582625648,10363.5019792087,10636.0590229677,10933.0328318661,11046.1174854954,11483.2450651545,11766.9676044039,12437.485132958,13582.1736974909,13000.6063406587,14267.5081989658,14851.6364993188,14587.4698636656
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Botswana,BWA,11461.9352022438,11262.7574600857,11725.4123691102,12054.7229956143,12166.3142520909,12494.0599439792,13287.058541671,13783.206317513,13945.4234683719,11729.4179073599,12653.211746314,13250.0847313911,12975.7849055951,14144.3404811954,14664.7846875238,13682.1997756941,14656.772988721,14373.3387418667,14961.8311652622,15117.6843172752,13545.0474160116
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Brazil,BRA,11529.4866151644,11536.3638321407,11739.4318434051,11733.4111975412,12268.6638325485,12520.8549899009,12877.4441830466,13518.8477758477,14067.9458125763,13916.9632254972,14824.7411544273,15271.4693518003,15425.3529285957,15751.4844481235,15695.6431041785,15011.5771943529,14477.8617680601,14402.4940082453,14619.5911298271,14685.1278924674,14109.7639690445
